LA_code,LA_name,cycling_weekly,cycling_rank,walking_thriceweekly,walking_rank,weekly_greenspace_visits,greenspace_rank,hospital_experience_score,hospital_rank,number_gp_practices,gppractices_per_thousand,pct_canseegp,gp_rank,dentists_per_thousand,dentists_rank,public_bike_docks,overall_rank,overall_grade
E06000053,ISLES OF SCILLY,30.6,1.70570374274572,68.4,1.69117777783418,NA,NA,NA,NA,1,0.434782608695652,0.964912280701754,1.71354233794348,NA,NA,NA,1.70347461950779,A
E07000203,MID SUFFOLK,13,1.26241350451802,58.7,1.12263368158223,2.13318777292576,1.47755821185374,NA,NA,10,0.102459016393443,0.92443919716647,1.69238749426517,NA,NA,NA,1.38874822305479,A
E07000053,WEYMOUTH AND PORTLAND,13.8,1.37323606407495,56.7,0.737180057004641,2.16748768472906,1.49732487689527,NA,NA,9,0.138461538461538,0.87089061566049,1.45968421380371,NA,NA,NA,1.26685630294464,A
E07000164,HAMBLETON,12,1.00222140816698,61.7,1.4550874327804,1.44278606965174,0.301441641883205,92,1.31853400912981,11,0.12263099219621,0.877702285361334,1.51257132299949,NA,NA,NA,1.11797116299198,B
E07000035,DERBYSHIRE DALES,11.7,0.910672337228649,61.2,1.41654207032264,2.61417322834646,1.6653415297482,NA,NA,13,0.182328190743338,0.883023395320936,1.56545843219528,0.0701262272089762,-0.022979154374067,NA,1.10700704302414,B
E07000225,CHICHESTER,14.8,1.42623815777608,59.6,1.25754245018439,1.94117647058824,1.22059156631396,74,0.909686254360876,12,0.104803493449782,0.830525272547076,0.560603357475337,NA,NA,NA,1.07493235722213,B
E07000166,RICHMONDSHIRE,8.3,-0.534839309166032,63,1.53699632800314,2.10055865921788,1.41825821672918,NA,NA,9,0.166975881261596,0.925320886814469,1.70296491610432,NA,NA,NA,1.03084503791765,B
E07000091,NEW FOREST,17.5,1.61897304396204,60.3,1.33945134540713,NA,NA,NA,NA,17,0.0958286358511838,0.846846846846847,1.05774218391573,0.0789177001127396,0.103406194683301,NA,1.02989319199205,B
E07000221,STRATFORD-ON-AVON,12.7,1.16604606142504,51.5,-0.847997974070698,2.26848249027237,1.56650820454059,196,1.65583340681418,19,0.157545605306799,0.846236559139785,1.04716476207657,0.290215588723051,1.34428053088292,NA,0.988639165278101,B
E07000216,WAVERLEY,12.7,1.16604606142504,53.7,-0.139726938909376,2.03636363636364,1.33919155656309,NA,NA,15,0.123051681706317,0.868483816013629,1.37506483909045,0.188679245283019,1.19491602745148,NA,0.987098309124138,B
E07000237,WORCESTER,14.9,1.44551164639468,58.9,1.15636087373277,1.55678233438486,0.568291619943748,66,0.408847754768933,10,0.100401606425703,0.864302235929067,1.27986804253803,NA,NA,NA,0.971775987475633,B
E07000191,WEST SOMERSET,9.9,0.212008374804553,65.9,1.65263241537642,1.96923076923077,1.23047489883472,NA,NA,7,0.202312138728324,0.878120411160059,1.52314874483865,0.0867052023121387,0.22979154374067,NA,0.969611195519003,B
E07000223,ADUR,13.8,1.37323606407495,60.2,1.32499683448547,NA,NA,NA,NA,9,0.145395799676898,0.865060240963855,1.3116003080555,0.0646203554119548,-0.195322812179569,NA,0.953627598609087,B
E07000011,HUNTINGDONSHIRE,13.1,1.28168699313662,57.5,0.929906869293436,1.70569280343716,0.914208258170377,72,0.807474315668643,23,0.134502923976608,0.869373622914699,1.40679710460792,0.087719298245614,0.252770698114737,NA,0.932140706498622,B
E07000082,STROUD,10.3,0.40956163314516,55.6,0.409544476113689,1.97867298578199,1.25024156387625,NA,NA,20,0.17636684303351,0.866332116788321,1.33275515173382,0.211640211640212,1.25236391338665,NA,0.930893347651113,B
E07000040,EAST DEVON,14.2,1.38769118053889,60.5,1.37799670786488,1.99726402188782,1.27000822891777,NA,NA,14,0.104166666666667,0.85234093637455,1.11062929311152,0.0520833333333333,-0.528520550603541,NA,0.923560971965904,B
E07000094,WINCHESTER,13.7,1.358780947611,59.9,1.29608781264215,2.1027397260274,1.42814154924994,66,0.408847754768933,10,0.0849617672047579,0.809956917185256,0,0.144435004248088,0.896187020588612,NA,0.898007514143439,B
E07000031,SOUTH LAKELAND,10.5,0.520384192702085,60.4,1.358724026636,1.52040816326531,0.449691629694618,NA,NA,23,0.222222222222222,0.870616113744076,1.42795194828624,0.1256038647343,0.72384336278311,NA,0.896119032020411,B
E06000017,RUTLAND,12.7,1.16604606142504,67,1.6719050966053,1.71428571428571,0.94385825573266,NA,NA,4,0.108108108108108,0.790996784565916,-0.423096873566292,NA,NA,NA,0.839678135049177,B
E06000046,ISLE OF WIGHT,9.6,0.101185815247628,57,0.833543463149038,2.08836789900812,1.39849155168766,64,0.296414622207477,17,0.122566690699351,0.876210235131397,1.50199390116034,NA,NA,NA,0.826325870690427,B
E07000205,SUFFOLK COASTAL,15.5,1.51296885655977,62.5,1.5032691358526,1.71428571428571,0.94385825573266,NA,NA,14,0.112630732099759,0.858061325420376,1.21640351150309,0.0321802091713596,-1.06853067839411,NA,0.8215938162508,B
E07000178,OXFORD,34.3,1.71534048705502,57.2,0.862452484992358,1.24170616113744,-0.212491649196358,64,0.296414622207477,26,0.170491803278689,0.839853644807205,0.846193747132584,0.314754098360656,1.37874926244402,NA,0.81444315910585,B
E07000222,WARWICK,11.6,0.876943732146106,58.4,1.10336100035335,1.35211267605634,0.133424989030271,80,1.17543729496068,17,0.122655122655123,0.864864864864865,1.30102288621635,0.0865800865800866,0.218301966553636,NA,0.801415311543399,B
E07000180,VALE OF WHITE HORSE,15.1,1.48405862363187,56.8,0.76608907884796,1.68996960486322,0.874674928087334,NA,NA,12,0.0977198697068404,0.816391941391941,0.253858124139775,0.11400651465798,0.585968436538708,NA,0.79292983824913,B
E07000189,SOUTH SOMERSET,11.4,0.795031405517074,57.2,0.862452484992358,1.86975717439294,1.14152490614788,57,-0.18398148964602,27,0.165644171779141,0.892888498683055,1.60776811955191,0.110429447852761,0.528520550603541,NA,0.791885996194456,B
E07000093,TEST VALLEY,13.3,1.31541559821916,54.5,0.0289090218433192,2.63636363636364,1.68510819478972,NA,NA,10,0.0854700854700855,0.816104461371056,0.232703280461461,0.11965811965812,0.654905899660909,NA,0.783408398994914,B
E07000179,SOUTH OXFORDSHIRE,15,1.46478513501328,57,0.833543463149038,2.29192546583851,1.58627486958211,NA,NA,15,0.11070110701107,0.857087678640402,1.19524866782477,0.029520295202952,-1.17193687307742,NA,0.781583052498357,B
