ccg_code,registered_patients,total_prescriptions,prescriptions_per_head,year,month
00C,683086.0,6443.0,0.00943219448210035,2013,05
00D,2118432.0,27647.0,0.013050690321898461,2013,05
00F,1436244.0,16243.0,0.01130935969097173,2013,05
00G,1242780.0,15935.0,0.012822060219829736,2013,05
00H,950369.0,13710.0,0.014425975594742674,2013,05
00J,2049112.0,21236.0,0.010363513560996178,2013,05
00K,1817561.0,24881.0,0.013689224185598172,2013,05
00L,2673492.0,40272.0,0.015063445112235233,2013,05
00M,1398825.0,21021.0,0.015027612460457885,2013,05
00N,1310081.0,14795.0,0.011293194848257474,2013,05
00P,1429022.0,16597.0,0.0116142368696913,2013,05
00Q,906840.0,10303.0,0.01136143090291562,2013,05
00R,1462396.0,16760.0,0.011460644038960719,2013,05
00T,1432247.0,15206.0,0.010616883819620499,2013,05
00V,921486.0,10896.0,0.011824379317754149,2013,05
00W,983087.0,11436.0,0.011632744609581858,2013,05
00X,400913.0,4045.0,0.010089470782937943,2013,05
00Y,942885.0,10720.0,0.011369361056756656,2013,05
01A,2320728.0,31905.0,0.013747841194659606,2013,05
01C,1309551.0,11913.0,0.009097011112969254,2013,05
01D,832701.0,9054.0,0.010873050470697166,2013,05
01E,673889.0,7574.0,0.011239239696745309,2013,05
01F,253044.0,2580.0,0.010195855266277802,2013,05
01G,1109612.0,14896.0,0.013424512352065406,2013,05
01H,2300260.0,23391.0,0.010168850477772077,2013,05
01J,100901.0,1070.0,0.010604453870625663,2013,05
01K,1262063.0,11956.0,0.009473378111869218,2013,05
01M,884201.0,10006.0,0.0113164314448864,2013,05
01N,1116196.0,13170.0,0.01179900304247641,2013,05
01R,1498509.0,14662.0,0.009784392352665216,2013,05
01T,155790.0,1600.0,0.010270235573528469,2013,05
01V,379664.0,3649.0,0.009611129841122676,2013,05
01W,1668678.0,18816.0,0.011275992132694264,2013,05
01X,260421.0,2727.0,0.010471505754144251,2013,05
01Y,969824.0,11900.0,0.012270267594945062,2013,05
02A,1230827.0,13600.0,0.011049481364968432,2013,05
02D,897083.0,12570.0,0.014012081379314957,2013,05
02E,306261.0,2088.0,0.006817714302506685,2013,05
02F,1341957.0,20195.0,0.015048917364714368,2013,05
02G,157254.0,1999.0,0.012711918297785748,2013,05
02H,1911305.0,26162.0,0.01368802990626823,2013,05
02M,1053482.0,9630.0,0.009141114893277721,2013,05
02N,414567.0,2212.0,0.005335687596938492,2013,05
02P,1141499.0,14250.0,0.012483585180538923,2013,05
02Q,1135224.0,6290.0,0.00554075671409343,2013,05
02R,959804.0,7219.0,0.007521327270984493,2013,05
02T,828882.0,8662.0,0.010450220899959221,2013,05
02V,360320.0,4628.0,0.012844138543516874,2013,05
02W,58720.0,820.0,0.013964577656675749,2013,05
02X,1259123.0,17018.0,0.013515756602015847,2013,05
02Y,859857.0,7233.0,0.00841186383317226,2013,05
03A,885831.0,15503.0,0.017501080905951587,2013,05
03C,1244370.0,10530.0,0.008462113358566985,2013,05
03D,392345.0,3069.0,0.00782219730084492,2013,05
03E,680810.0,6301.0,0.009255151951352066,2013,05
03F,695311.0,6311.0,0.009076513962816639,2013,05
03G,666879.0,7685.0,0.011523829660253209,2013,05
03H,1006777.0,14426.0,0.014328893091518777,2013,05
03J,415843.0,5933.0,0.01426740380383943,2013,05
03K,985029.0,8174.0,0.008298232843906118,2013,05
03L,681940.0,4880.0,0.007156054784878435,2013,05
03M,1019793.0,11333.0,0.01111303960705751,2013,05
03N,3861541.0,58205.0,0.015072998059582949,2013,05
03Q,1087492.0,9218.0,0.008476384194090624,2013,05
03R,2141471.0,22113.0,0.010326079596688445,2013,05
03T,1606381.0,22621.0,0.01408196436586339,2013,05
03V,639379.0,9325.0,0.014584463987713079,2013,05
03W,2340523.0,17288.0,0.007386383299800942,2013,05
03X,733573.0,6144.0,0.00837544457061533,2013,05
03Y,652211.0,8373.0,0.012837869953128665,2013,05
04C,1479360.0,23164.0,0.015658122431321652,2013,05
04D,1386780.0,21321.0,0.015374464587028945,2013,05
04E,364892.0,3085.0,0.00845455641669316,2013,05
04F,1243289.0,11146.0,0.00896493092112936,2013,05
04G,5818094.0,59144.0,0.01016552843594483,2013,05
04H,224606.0,3557.0,0.015836620571133452,2013,05
04J,1694063.0,21028.0,0.012412761508869505,2013,05
04K,1367857.0,15489.0,0.011323552096454527,2013,05
04L,974204.0,11059.0,0.011351831854519177,2013,05
04M,503587.0,3815.0,0.007575652270610639,2013,05
04N,576683.0,5210.0,0.009034426192552928,2013,05
04Q,898669.0,14430.0,0.01605707997048969,2013,05
04R,3289092.0,27150.0,0.00825455779284982,2013,05
04V,2454790.0,25165.0,0.010251386065610501,2013,05
04X,231118.0,3772.0,0.016320667364722784,2013,05
04Y,645226.0,7160.0,0.011096886982235682,2013,05
05A,1452581.0,13184.0,0.009076258053767742,2013,05
05C,2794403.0,27997.0,0.010018955748329787,2013,05
05D,434130.0,4200.0,0.009674521456706517,2013,05
05F,920216.0,9090.0,0.009878115572865501,2013,05
05G,261250.0,3928.0,0.015035406698564593,2013,05
05H,449760.0,3302.0,0.007341693347563145,2013,05
05J,862811.0,11232.0,0.013017914699743048,2013,05
05L,1969891.0,24310.0,0.012340784337813614,2013,05
05N,1479583.0,20689.0,0.013982993857052968,2013,05
05P,1149915.0,11771.0,0.010236408778040116,2013,05
05Q,1009283.0,11579.0,0.011472500775302864,2013,05
05R,1504766.0,13387.0,0.008896399838911832,2013,05
05T,2373490.0,24682.0,0.010399032648125755,2013,05
05V,497207.0,3654.0,0.007349051803373645,2013,05
05W,254597.0,4037.0,0.015856431929677096,2013,05
05X,1059490.0,11907.0,0.011238426035167864,2013,05
05Y,1252455.0,26096.0,0.020835878334950157,2013,05
06A,1063462.0,17743.0,0.016684188057495237,2013,05
06D,675889.0,8008.0,0.011848099318083295,2013,05
06F,3063278.0,37522.0,0.012248969894341943,2013,05
06H,5659180.0,70323.0,0.012426358589053537,2013,05
06K,3512719.0,31080.0,0.008847846924277177,2013,05
06L,2152344.0,19704.0,0.009154670443014686,2013,05
06M,2375801.0,25249.0,0.010627573605701825,2013,05
06N,2907085.0,28112.0,0.00967016788294804,2013,05
06P,1002036.0,11427.0,0.011403781900051495,2013,05
06Q,2881283.0,29499.0,0.010238147380871646,2013,05
06T,1833970.0,18901.0,0.010306057350992655,2013,05
06V,1595641.0,17795.0,0.011152257932705415,2013,05
06W,1870899.0,25584.0,0.013674709324233964,2013,05
06Y,1748790.0,18076.0,0.010336289663138513,2013,05
07G,1010314.0,14408.0,0.01426091294389665,2013,05
07H,1137650.0,10109.0,0.008885861205115808,2013,05
07J,1742183.0,24743.0,0.014202296773645479,2013,05
07K,1562347.0,13272.0,0.008494911821765587,2013,05
07L,634704.0,7654.0,0.01205916458695707,2013,05
07M,1303695.0,18704.0,0.014346913963772202,2013,05
07N,1551893.0,16675.0,0.01074494182266432,2013,05
07P,492223.0,7041.0,0.014304492069651358,2013,05
07Q,1458593.0,15132.0,0.010374381338728486,2013,05
07R,1032689.0,11763.0,0.011390651009161519,2013,05
07T,829860.0,12576.0,0.01515436338659533,2013,05
07V,1502632.0,14758.0,0.009821433324992414,2013,05
07W,419601.0,6700.0,0.015967550124999702,2013,05
07X,585120.0,7813.0,0.013352816516270167,2013,05
07Y,554360.0,8601.0,0.015515188686052384,2013,05
08A,980671.0,11614.0,0.011842911639071614,2013,05
08C,559285.0,8620.0,0.015412535648193676,2013,05
08D,460656.0,5598.0,0.012152235073460456,2013,05
08E,1256493.0,14897.0,0.011856015115086197,2013,05
08F,1542541.0,19157.0,0.012419118843518585,2013,05
08G,831195.0,9993.0,0.012022449605688195,2013,05
08H,633713.0,9694.0,0.01529714555327096,2013,05
08J,806957.0,10876.0,0.013477793736221384,2013,05
08K,1088111.0,11071.0,0.010174513445778969,2013,05
08L,1228270.0,17106.0,0.01392690532211973,2013,05
08M,1042210.0,10125.0,0.009714932691108317,2013,05
08N,580274.0,7193.0,0.012395868158835309,2013,05
08P,894484.0,9361.0,0.010465251474593174,2013,05
08Q,1006941.0,11033.0,0.010956947825145663,2013,05
08R,749086.0,7639.0,0.01019776100474445,2013,05
08T,929312.0,10755.0,0.011573077717709445,2013,05
08V,469871.0,6939.0,0.014767883099829527,2013,05
08W,587223.0,7549.0,0.012855422897263902,2013,05
08X,2392772.0,21764.0,0.009095726630034119,2013,05
08Y,428039.0,8467.0,0.01978090781447485,2013,05
09A,574223.0,8888.0,0.01547830720817522,2013,05
09C,420090.0,4707.0,0.011204741841034064,2013,05
09D,1275050.0,14940.0,0.011717187561272107,2013,05
09E,703169.0,5462.0,0.007767691692893174,2013,05
09F,1125945.0,9620.0,0.008543934206377753,2013,05
09G,3123965.0,34014.0,0.010888086134127624,2013,05
09H,962589.0,11699.0,0.012153681373878155,2013,05
09J,2632856.0,32344.0,0.01228475845241821,2013,05
09L,729982.0,6548.0,0.008970084193856835,2013,05
09N,1804972.0,16331.0,0.009047785782826548,2013,05
09P,692408.0,9409.0,0.013588808910353434,2013,05
09W,2810958.0,52683.0,0.018742008952108143,2013,05
09X,1614693.0,16416.0,0.010166638487935477,2013,05
09Y,3630939.0,42461.0,0.011694220145257192,2013,05
10A,548638.0,8257.0,0.015049996536878598,2013,05
10C,850730.0,7511.0,0.00882888813136953,2013,05
10D,1403942.0,38173.0,0.027189869666980546,2013,05
10E,690983.0,6003.0,0.00868762328450917,2013,05
10G,872295.0,8078.0,0.009260628571756115,2013,05
10H,1805345.0,17532.0,0.009711163240267096,2013,05
10J,1605871.0,12714.0,0.007917198828548496,2013,05
10K,364175.0,3758.0,0.010319214663280016,2013,05
10L,792147.0,11245.0,0.014195597534296034,2013,05
10M,663148.0,5964.0,0.008993467521578893,2013,05
10N,796236.0,7382.0,0.009271120622529,2013,05
10Q,3531620.0,37477.0,0.010611843856360537,2013,05
10R,324575.0,3803.0,0.011716860509897559,2013,05
10T,441182.0,3071.0,0.006960846090728996,2013,05
10V,753938.0,8818.0,0.011695921945836395,2013,05
10W,730529.0,9661.0,0.013224663223499683,2013,05
10X,1532615.0,18457.0,0.01204281571040346,2013,05
10Y,844651.0,6610.0,0.007825717367291343,2013,05
11A,3909359.0,34771.0,0.008894296993445728,2013,05
11C,840965.0,9056.0,0.010768581332160078,2013,05
11D,946882.0,6098.0,0.006440084403336425,2013,05
11E,614843.0,7664.0,0.012464970732365823,2013,05
11H,1981614.0,19176.0,0.009676960296001139,2013,05
11J,5407252.0,56572.0,0.010462245887559892,2013,05
11M,2348390.0,27007.0,0.011500219299179437,2013,05
11N,1846612.0,21358.0,0.01156604635949512,2013,05
11T,472835.0,4320.0,0.009136379498133599,2013,05
11X,2938688.0,30073.0,0.010233478341355054,2013,05
12A,1454913.0,11359.0,0.007807339682853889,2013,05
12D,396055.0,3053.0,0.0077085253310777545,2013,05
12F,2919188.0,82538.0,0.028274300935739665,2013,05
13P,2030018.0,19900.0,0.009802868743035776,2013,05
99A,1249378.0,15190.0,0.012158049845603171,2013,05
99C,1811419.0,25027.0,0.013816240196221857,2013,05
99D,1031654.0,13870.0,0.013444430012387874,2013,05
99E,1627265.0,20095.0,0.0123489413217884,2013,05
99F,733860.0,7508.0,0.010230834219060856,2013,05
99G,762883.0,11473.0,0.015039003359623953,2013,05
99H,2206023.0,21616.0,0.009798628572775534,2013,05
99J,4047551.0,46456.0,0.011477557663881196,2013,05
99K,767160.0,8373.0,0.010914281245111842,2013,05
99M,1622126.0,18643.0,0.011492941978613253,2013,05
99N,2263867.0,24714.0,0.010916719047541221,2013,05
99P,5110525.0,56808.0,0.0111158833974983,2013,05
99Q,1492764.0,16110.0,0.010792060901790235,2013,05
