CCG Code,Practice Code,Practice Name,GP Prevalence
NA,E85755,NORTH HYDE MEDICAL PRACTICE,11.5
NA,P86627,TRIPLE H PRACTICE,0.9
99Q,L83078,ST. LUKES MEDICAL CENTRE,7.6
99Q,L83126,BISHOPS PLACE SURGERY,7.1
99Q,L83103,CORNER PLACE SURGERY,7.0
99Q,L83666,BUCKLAND SURGERY,6.9
99Q,L83607,OLD FARM SURGERY,6.8
99Q,L83145,RICHMOND HOUSE SURGERY,6.6
99Q,L83149,CHERRYBROOK MEDICAL CENTRE,6.6
99Q,L83667,OLD MILL SURGERY,6.5
99Q,L83122,GROSVENOR ROAD SURGERY,6.5
99Q,L83148,CHILLINGTON HEALTH CENTRE,6.4
99P,L83647,HATHERLEIGH MEDICAL CENTRE,7.6
99P,L83663,BLACK TORRINGTON SURGERY,7.5
99P,L83080,ARMADA SURGERY,7.3
99P,L83073,BRANNAMS MEDICAL CENTRE,7.3
99P,L83626,SALTASH ROAD SURGERY,7.3
99P,L83054,TOWNSEND HOUSE MEDICAL CENTRE,6.9
99P,L83115,WHIPTON SURGERY,6.8
99P,L83107,CROWNHILL SURGERY,6.8
99P,L83074,STIRLING ROAD SURGERY,6.8
99P,L83048,ROBOROUGH SURGERY,6.7
99N,J83011,GIFFORDS PRIMARY CARE CENTRE,6.5
99N,J83619,COURTYARD SURGERY,6.4
99N,J83039,NORTHLANDS SURGERY,6.2
99N,J83639,ST. DAMIAN'S SURGERY,6.1
99N,J83046,SPA MEDICAL CENTRE,6.0
99N,J83629,SILTON SURGERY,6.0
99N,J83060,MERE SURGERY,5.9
99N,J83048,ST. MELOR HOUSE SURGERY,5.8
99N,J83042,ROWDEN SURGERY,5.8
99N,J83034,LANSDOWNE SURGERY,5.8
99M,J82181,MAYFIELD MEDICAL CENTRE,6.1
99M,J82125,JENNER HOUSE SURGERY,5.9
99M,J82049,HARTLEY CORNER SURGERY,5.7
99M,J82015,GIFFARD DRIVE SURGERY,5.7
99M,J82142,THE BORDER PRACTICE,5.7
99M,H81097,O'DONNELL & PARTNERS,5.6
99M,J82030,VICTORIA PRACTICE,5.6
99M,J82066,SOUTHLEA GROUP PRACTICE,5.3
99M,J82052,THE OAKLANDS PRACTICE,5.2
99M,J82178,PRINCES GARDENS SURGERY,5.0
99K,G81053,ROWE AVENUE SURGERY,8.1
99K,G81100,MERIDIAN SURGERY,7.7
99K,G81016,QUAYSIDE MEDICAL PRACTICE,7.1
99K,G81692,THE CENTRAL SURGERY,5.9
99K,G81055,SAXONBURY HOUSE SURGERY,5.8
99K,G81061,CHAPEL STREET SURGERY,5.3
99K,G81035,RIVER LODGE SURGERY,5.2
99K,G81627,FOXHILL MEDICAL CENTRE,5.2
99K,G81021,SCHOOL HILL MEDICAL PRACTICE,5.1
99K,G81088,HEATHFIELD SURGERY,5.1
99J,G82793,ALLINGTON PARK,9.0
99J,G82641,WALLIS AVENUE,6.9
99J,G82065,DR SINHA GC,6.6
99J,G82085,SNODLAND MEDICAL PRACTICE,6.2
99J,G82234,PHOENIX,6.1
99J,G82754,HADLOW MEDICAL CENTRE,6.1
99J,G82137,ST. ANDREWS MEDICAL CENTRE,5.9
99J,G82055,NORTH RIDGE MEDICAL PRACTICE,5.9
99J,G82691,LANGLEY,5.9
99J,G82118,PADDOCK WOOD,5.9
99H,H81627,COX LANE SURGERY,6.7
99H,H81118,AURIOL MEDICAL PRACTICE,6.5
99H,H81618,MOLEBRIDGE PRACTICE,5.6
99H,H81656,SHADBOLT PARK HOUSE SURGERY,5.6
99H,H81613,STONELEIGH SURGERY,5.5
99H,H81091,SPRING STREET SURGERY,5.4
99H,H81106,NORTH HOLMWOOD SURGERY,5.3
99H,H81081,TADWORTH MEDICAL CENTRE,5.2
99H,H81078,GLENLYN MEDICAL CENTRE,5.0
99H,H81071,ASHLEY CENTRE SURGERY,5.0
99G,F81176,DR NK SHAH,7.4
99G,F81147,DR GEORGE,7.0
99G,F81200,DR SATHANANDAN,6.7
99G,F81209,DR WEEKS,6.6
99G,F81223,DR MALIK,6.6
99G,F81003,DRS VERGHESE & KHAN,6.5
99G,F81649,DR SCHEMBRI,6.3
99G,F81656,DR VASHISHT,6.3
99G,F81676,DR KONGAR,6.3
99G,F81128,DR ZAIDI,6.2
99F,F81661,LEIGH BECK SURGERY,8.0
99F,F81096,OAKLANDS SURGERY,7.8
99F,F81699,QURESHI PRACTICE,7.3
99F,F81205,GHAURI PRACTICE,7.3
99F,F81618,HIGH ROAD FAMILY DOCTORS,6.9
99F,F81061,CONNER & PARTNERS,6.5
99F,F81051,DR CHAVDA & PARTNERS,6.5
99F,F81070,GRAFTON SURGERY,6.4
99F,F81739,THE ISLAND SURGERY,6.4
99F,F81007,"DR PUZEY,DR KOTHARI AND DR NANDA",6.4
99E,Y00469,DR MA SIMS' PRACTICE,9.7
99E,Y00468,DIPPLE MEDICAL CENTRE,8.4
99E,F81060,DR NG NEWPORT'S PRACTICE,8.1
99E,F81158,DR NASAH & PARTNERS,7.7
99E,Y00758,DR JO ARAYOMI'S PRACTICE,7.1
