CCG Code,CCG Name,Registered,Prevalence
NA,Unknown or not applicable,1491.0,9.859154929577464
02W,NHS Bradford City CCG,72367.0,9.171307363853689
05Y,NHS Walsall CCG,210677.0,7.745506153970296
05L,NHS Sandwell and West Birmingham CCG,407210.0,7.513567937919009
10T,NHS Slough CCG,103562.0,7.4979239489388005
03T,NHS Lincolnshire East CCG,199805.0,7.3992142338780305
08E,NHS Harrow CCG,190914.0,7.278146181002965
07J,NHS West Norfolk CCG,134276.0,7.136792874378147
06A,NHS Wolverhampton CCG,208238.0,7.129342387076326
03Y,NHS Hardwick CCG,83276.0,7.113694221624478
