Practice Code,Practice Name,Registered,Prevalence
Y02508,EATPMC (HUYTON),8.0,0.0
G83010,NORTHUMBERLAND HEATH MEDICAL CENTRE,7653.0,0.0
G81648,ELM GROVE MEDICAL CENTRE,1467.0,0.0
Y02592,BATH NHS HEALTH CARE CENTRE,124.0,0.0
C82682,LOUGHBOROUGH ROAD MEDICAL CENTRE,852.0,0.1
F83672,ST. PHILIPS MEDICAL CENTRE,8721.0,0.2
A82622,SEDBERGH SCHOOL MEDICAL CENTRE,322.0,0.3
B86110,LEEDS STUDENT MEDICAL PRACTICE,31445.0,0.3
C88627,UNIVERSITY HEALTH SERVICE HEALTH CENTRE,19748.0,0.3
J82199,DR LAWSON & PARTNERS,14652.0,0.3
