ccg_code,month,difference
00C,Apr,-0.10977517475912002
00D,Apr,-0.061286716062454616
00F,Apr,-0.8756962279293674
00G,Apr,0.3712867647058893
00H,Apr,0.5612548076923076
00J,Apr,-0.3117401568164553
00K,Apr,-0.5403655699568048
00L,Apr,0.7269184702045646
00M,Apr,-0.4873415600243689
00N,Apr,0.19283302296709337
00P,Apr,0.09015432556758896
00Q,Apr,0.16472989195678167
00R,Apr,0.47312707549258803
00T,Apr,-0.07719976942291495
00V,Apr,-0.8602507498500351
00W,Apr,1.660163206528253
00X,Apr,-1.6589421015010686
00Y,Apr,0.23963438459391995
01A,Apr,-0.397007751041194
01C,Apr,-0.9197885432982744
01D,Apr,0.5463239266089168
01E,Apr,-0.7888003464703282
01F,Apr,-0.02733826515810378
01G,Apr,-1.6123840015761957
01H,Apr,-0.04346176617935171
01J,Apr,-0.5160691198408642
01K,Apr,-0.9448050314465419
01M,Apr,-0.16645382125964758
01N,Apr,0.4011149425287357
01R,Apr,0.8998857072631239
01T,Apr,0.5753033739722149
01V,Apr,0.4996365173288204
01W,Apr,1.4515588331834515
01X,Apr,0.5574894741995617
01Y,Apr,0.2792546800174236
02A,Apr,-0.17715067675158025
02D,Apr,-0.6278719760222629
02E,Apr,0.04877795786061867
02F,Apr,-0.09967558799676723
02G,Apr,-0.8362397089795195
02H,Apr,0.833157336329009
02M,Apr,0.6892529932326923
02N,Apr,0.2927892212189569
02P,Apr,2.3137403050108922
02Q,Apr,-0.22250545058139792
02R,Apr,0.126128346791333
02T,Apr,1.0325501369863055
02V,Apr,-0.3274100012286496
02W,Apr,-0.09629012534393055
02X,Apr,2.760578542658365
02Y,Apr,-0.4289913932221694
03A,Apr,0.19969359615974014
03C,Apr,0.8757329043966031
03D,Apr,-1.0487181230873865
03E,Apr,-0.635301620130992
03F,Apr,0.02195641800540926
03G,Apr,0.4072854996907367
03H,Apr,1.115240099009899
03J,Apr,1.7613113833014822
03K,Apr,2.299372479240809
03L,Apr,0.4911733931240718
03M,Apr,-0.8803729281768007
03N,Apr,0.4586075899380013
03Q,Apr,0.14827564990001463
03R,Apr,0.40214564369310324
03T,Apr,1.0735518127705639
03V,Apr,2.9319301557338413
03W,Apr,0.8962205828107663
03X,Apr,-0.36282764616388263
03Y,Apr,-0.5438149898717057
04C,Apr,0.6124957410562146
04D,Apr,1.0259369801350395
04E,Apr,-0.21433440440669926
04F,Apr,0.40570019930766676
04G,Apr,0.8038987360705931
04H,Apr,0.7435484450835901
04J,Apr,-0.1828790102746929
04K,Apr,0.3065568727491055
04L,Apr,-0.2527884327240013
04M,Apr,0.23945428434657856
04N,Apr,-1.0279281957466289
04Q,Apr,1.3709326776326876
04R,Apr,0.2829546608349336
04V,Apr,0.46428403610733326
04X,Apr,1.3426509352063718
04Y,Apr,1.3818790849673164
05A,Apr,1.3267488607595013
05C,Apr,0.23036808985722956
05D,Apr,1.0338455271305236
05F,Apr,-0.19103095182685692
05G,Apr,0.5483966789667925
05H,Apr,1.230342473419146
05J,Apr,1.7144570525711025
05L,Apr,0.9206257632265213
05N,Apr,0.6123446111451329
05P,Apr,-0.6717255813953535
