ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
00C,2012,Jan,84625.0,5293.0,78504.88999999998,14.831832609106364
00D,2012,Jan,232628.0,15116.0,273917.97,18.12106178883302
00F,2012,Jan,168292.0,9968.0,161471.19000000003,16.19895565810594
00G,2012,Jan,125410.0,5168.0,97549.77,18.875729489164087
00H,2012,Jan,103460.0,6240.0,113027.80000000002,18.11342948717949
00J,2012,Jan,198135.0,11861.0,211027.56000000006,17.791717393137176
00K,2012,Jan,228082.0,12036.0,225443.2299999999,18.73074360252575
00L,2012,Jan,264148.0,16865.0,251246.69,14.897520901274829
00M,2012,Jan,230654.0,13128.0,245868.99999999997,18.728595368677635
00N,2012,Jan,125301.0,8055.0,136752.78999999995,16.977379267535685
00P,2012,Jan,231625.0,13478.0,262022.09999999995,19.440725626947614
00Q,2012,Jan,124909.0,8330.0,164353.48,19.730309723889558
00R,2012,Jan,139228.0,9034.0,158639.31,17.560251272968785
00T,2012,Jan,229563.0,15613.0,269270.45,17.24655415358996
00V,2012,Jan,154052.0,8335.0,159801.36,19.17232873425315
00W,2012,Jan,159701.0,8333.0,204349.78999999998,24.522955718228726
00X,2012,Jan,139469.0,8394.0,145000.97000000003,17.274359065999526
00Y,2012,Jan,177319.0,10749.0,250735.13000000003,23.326368034235745
01A,2012,Jan,288876.0,17288.0,338067.79000000004,19.555054951411385
01C,2012,Jan,164531.0,8938.0,154127.15,17.244031103155066
01D,2012,Jan,174292.0,10737.0,199616.99000000002,18.591505075905747
01E,2012,Jan,167553.0,9236.0,168622.49,18.257090731918577
01F,2012,Jan,101262.0,6894.0,123390.7,17.89827386132869
01G,2012,Jan,189822.0,10151.0,209916.63999999998,20.679404984730567
01H,2012,Jan,411612.0,21957.0,399396.73,18.18994990208134
01J,2012,Jan,126163.0,8044.0,146614.60000000003,18.226578816509203
01K,2012,Jan,131046.0,7155.0,133330.99,18.63465967854647
01M,2012,Jan,138202.0,8034.0,176810.9699999999,22.007837938760257
01N,2012,Jan,131660.0,6960.0,150912.99999999997,21.68290229885057
01R,2012,Jan,139532.0,8137.0,153112.16000000003,18.816782598009098
01T,2012,Jan,126822.0,7054.0,130159.64999999995,18.45189254323787
01V,2012,Jan,101234.0,5915.0,97308.99,16.45122400676247
01W,2012,Jan,237826.0,12937.0,239528.0000000001,18.514957099791303
01X,2012,Jan,155786.0,10213.0,173709.82,17.008696759032606
01Y,2012,Jan,187054.0,11485.0,261086.49000000008,22.732824553765788
02A,2012,Jan,181553.0,10048.0,196652.24000000002,19.57128184713376
02D,2012,Jan,79614.0,4671.0,94960.83,20.329871547848427
02E,2012,Jan,154616.0,9255.0,152930.19000000003,16.524061588330635
02F,2012,Jan,206635.0,11097.0,193318.34999999998,17.42077588537442
02G,2012,Jan,90171.0,5223.0,88648.04999999999,16.972630672027567
02H,2012,Jan,257240.0,16023.0,294462.11,18.377464270111712
02M,2012,Jan,126659.0,7684.0,129637.76999999999,16.871130921395107
02N,2012,Jan,124811.0,7088.0,135034.94,19.051204853273138
02P,2012,Jan,180064.0,11475.0,224924.69999999998,19.601281045751634
02Q,2012,Jan,90256.0,5504.0,115560.83999999997,20.995792151162785
02R,2012,Jan,251063.0,16471.0,312400.7100000001,18.966711796490806
02T,2012,Jan,166522.0,9125.0,188951.42000000004,20.707004931506855
02V,2012,Jan,161520.0,8139.0,164263.18000000005,20.182231232338133
02W,2012,Jan,71481.0,6542.0,152648.85000000003,23.333667074289213
02X,2012,Jan,247262.0,16386.0,366286.41,22.353619553277188
02Y,2012,Jan,247261.0,14872.0,262892.09,17.67698292092523
